Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-8.0	-56.0	30.0	6.303895631820791	7040
PositiveTail 1a	-10.0	-56.0	22.0	5.010446020339801	
PositiveTail 1b	-8.0	-50.0	16.0	3.31346812378334	
PositiveTail 1c	0.0	-54.0	18.0	3.31346812378334	
PositiveTail 2	54.0	-20.0	-4.0	6.141874899677507	7032
PositiveTail 2a	56.0	-18.0	4.0	4.366534414952807	
PositiveTail 2b	56.0	-22.0	-10.0	4.035034268326708	
PositiveTail 2c	54.0	-10.0	2.0	4.035034268326708	
PositiveTail 3	-6.0	44.0	0.0	5.912408038584518	21352
PositiveTail 3a	-6.0	54.0	20.0	5.010446020339801	
PositiveTail 3b	4.0	44.0	-2.0	4.6949220273227255	
PositiveTail 3c	-4.0	58.0	20.0	4.366534414952807	
PositiveTail 4	-2.0	20.0	56.0	5.626809897772615	6056
PositiveTail 4a	-4.0	28.0	48.0	3.682960938986291	
PositiveTail 4b	-12.0	22.0	52.0	3.682960938986291	
PositiveTail 4c	-8.0	28.0	48.0	3.31346812378334	
PositiveTail 5	-42.0	2.0	48.0	5.010446020339801	3464
PositiveTail 5a	-36.0	0.0	54.0	4.035034268326708	
PositiveTail 5b	-44.0	8.0	50.0	3.682960938986291	
PositiveTail 5c	-36.0	-4.0	54.0	3.31346812378334	
PositiveTail 6	-54.0	-26.0	4.0	5.010446020339801	7328
PositiveTail 6a	-56.0	-26.0	-4.0	4.035034268326708	
PositiveTail 6b	-58.0	-14.0	-4.0	4.035034268326708	
PositiveTail 6c	-54.0	-34.0	0.0	3.682960938986291	
PositiveTail 7	-50.0	26.0	-2.0	5.010446020339801	11744
PositiveTail 7a	-42.0	22.0	-8.0	5.010446020339801	
PositiveTail 7b	-52.0	30.0	8.0	5.010446020339801	
PositiveTail 7c	-50.0	22.0	-4.0	5.010446020339801	
PositiveTail 8	10.0	6.0	6.0	3.682960938986291	3816
PositiveTail 8a	12.0	14.0	4.0	3.31346812378334	
PositiveTail 8b	8.0	-2.0	12.0	2.9206252565210944	
PositiveTail 8c	12.0	14.0	-2.0	2.9206252565210944	
PositiveTail 9	-48.0	-54.0	22.0	3.682960938986291	3800
PositiveTail 9a	-52.0	-60.0	28.0	3.31346812378334	
PositiveTail 9b	-42.0	-60.0	22.0	3.31346812378334	
PositiveTail 9c	-48.0	-60.0	28.0	3.31346812378334	
PositiveTail 10	46.0	22.0	-2.0	3.682960938986291	1424
PositiveTail 10a	36.0	18.0	-8.0	2.9206252565210944	
PositiveTail 10b	44.0	22.0	-8.0	2.5155083127251987	
PositiveTail 10c	38.0	26.0	0.0	2.5155083127251987	
PositiveTail 11	-24.0	8.0	10.0	3.31346812378334	1512
PositiveTail 11a	-16.0	4.0	6.0	3.31346812378334	
PositiveTail 11b	-12.0	12.0	6.0	2.9206252565210944	
PositiveTail 11c	-28.0	14.0	4.0	2.9206252565210944	
PositiveTail 12	-48.0	-36.0	48.0	3.31346812378334	864
PositiveTail 12a	-52.0	-28.0	44.0	2.0979389888149687	
PositiveTail 12b	-46.0	-44.0	44.0	2.0979389888149687	
PositiveTail 12c	-42.0	-30.0	48.0	2.0979389888149687	
PositiveTail 13	46.0	-58.0	-10.0	2.9206252565210944	1216
PositiveTail 13a	50.0	-50.0	-10.0	2.9206252565210944	
PositiveTail 13b	46.0	-58.0	-14.0	2.5155083127251987	
PositiveTail 13c	46.0	-54.0	-6.0	2.5155083127251987	
PositiveTail 14	-10.0	0.0	10.0	2.9206252565210944	272
PositiveTail 15	24.0	-78.0	-18.0	2.9206252565210944	1568
PositiveTail 15a	14.0	-84.0	0.0	2.9206252565210944	
PositiveTail 15b	24.0	-74.0	-14.0	2.9206252565210944	
PositiveTail 15c	20.0	-82.0	-2.0	2.9206252565210944	
PositiveTail 16	28.0	20.0	2.0	2.5155083127251987	176
PositiveTail 17	-48.0	6.0	-32.0	2.5155083127251987	128
PositiveTail 18	-4.0	40.0	22.0	2.5155083127251987	112
PositiveTail 19	-52.0	0.0	-24.0	2.5155083127251987	176
PositiveTail 20	48.0	32.0	14.0	2.5155083127251987	96
PositiveTail 21	48.0	8.0	24.0	2.0979389888149687	96
PositiveTail 22	44.0	4.0	30.0	2.0979389888149687	128
PositiveTail 23	-46.0	-44.0	-10.0	2.0979389888149687	80
